year	category	n	n2
2011	religion & philosophy	90	1200
2011	science & nature	249	1200
2011	shopping	385	1200
2011	society & culture	406	1200
2011	"sports, hobbies, & recreation"	479	1200
2011	technology	749	1200
2011	travel & transportation	971	1200
2011	work & money	1133	1200
2011	writing & language	369	1200
2012	"clothing, beauty, & fashion"	485	1200
2012	computers & internet	1671	1200
2012	education	448	1200
2012	food & drink	645	1200
2012	grab bag	510	1200
2012	health & fitness	1167	1200
2012	home & garden	791	1200
2012	human relations	1466	1200
2012	law & government	419	1200
2012	media & arts	1247	1200
2012	pets & animals	288	1200
2012	religion & philosophy	84	1200
2012	science & nature	250	1200
2012	shopping	343	1200
2012	society & culture	375	1200
2012	"sports, hobbies, & recreation"	492	1200
2012	technology	729	1200
2012	travel & transportation	962	1200
2012	work & money	1256	1200
2012	writing & language	380	1200
2013	"clothing, beauty, & fashion"	379	1200
2013	computers & internet	1101	1200
2013	education	306	1200
2013	food & drink	498	1200
2013	grab bag	394	1200
2013	health & fitness	887	1200
2013	home & garden	606	1200
2013	human relations	1115	1200
2013	law & government	276	1200
2013	media & arts	952	1200
2013	pets & animals	221	1200
2013	religion & philosophy	53	1200
2013	science & nature	177	1200
2013	shopping	258	1200
2013	society & culture	306	1200
2013	"sports, hobbies, & recreation"	335	1200
2013	technology	551	1200
2013	travel & transportation	761	1200
2013	work & money	913	1200
2013	writing & language	296	1200
2014	"clothing, beauty, & fashion"	256	1200
2014	computers & internet	686	1200
2014	education	220	1200
2014	food & drink	344	1200
2014	grab bag	286	1200
2014	health & fitness	587	1200
2014	home & garden	482	1200
2014	human relations	753	1200
2014	law & government	233	1200
2014	media & arts	716	1200
2014	pets & animals	130	1200
2014	religion & philosophy	34	1200
2014	science & nature	132	1200
2014	shopping	190	1200
2014	society & culture	205	1200
2014	"sports, hobbies, & recreation"	235	1200
2014	technology	338	1200
2014	travel & transportation	570	1200
2014	work & money	682	1200
2014	writing & language	222	1200
